title,link,en,de,fr,es,nl,ar,hi,tr,zh,af,ceb,ko,sv,ru
Mumbai,https://en.wikipedia.org/wiki/Mumbai,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Munich Metropolitan Region,https://en.wikipedia.org/wiki/Munich_Metropolitan_Region,1,0,0,0,1,1,1,1,0,0,0,1,1,1
Chūkyō Metropolitan Area,https://en.wikipedia.org/wiki/Ch%C5%ABky%C5%8D_Metropolitan_Area,1,0,0,0,1,1,1,1,1,0,0,1,1,1
Nagpur,https://en.wikipedia.org/wiki/Nagpur,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Nairobi,https://en.wikipedia.org/wiki/Nairobi,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Nanchang,https://en.wikipedia.org/wiki/Nanchang,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Nanjing,https://en.wikipedia.org/wiki/Nanjing,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Nanning,https://en.wikipedia.org/wiki/Nanning,1,1,1,1,1,0,0,1,1,0,1,1,1,1
Nantes,https://en.wikipedia.org/wiki/Nantes,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Nantong,https://en.wikipedia.org/wiki/Nantong,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Naples,https://en.wikipedia.org/wiki/Naples,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Nashville, Tennessee","https://en.wikipedia.org/wiki/Nashville,_Tennessee",1,1,1,1,1,1,0,1,1,1,1,1,1,1
New Haven,https://en.wikipedia.org/wiki/New_Haven,1,1,1,1,1,1,1,1,1,0,1,1,1,1
New Orleans,https://en.wikipedia.org/wiki/New_Orleans,1,1,1,1,1,1,0,1,1,0,1,1,1,1
New York metropolitan area,https://en.wikipedia.org/wiki/New_York_metropolitan_area,1,0,0,1,0,1,0,1,1,0,1,0,1,1
"Newcastle, New South Wales","https://en.wikipedia.org/wiki/Newcastle,_New_South_Wales",1,0,1,1,1,1,0,1,1,1,1,1,1,1
Newcastle upon Tyne,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Nice,https://en.wikipedia.org/wiki/Nice,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Amiens,https://en.wikipedia.org/wiki/Amiens,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"Niigata, Niigata","https://en.wikipedia.org/wiki/Niigata,_Niigata",1,1,1,1,1,1,0,1,1,1,1,1,1,1
Ningbo,https://en.wikipedia.org/wiki/Ningbo,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nottingham,https://en.wikipedia.org/wiki/Nottingham,1,1,1,1,1,1,1,1,1,1,1,1,1,1
