title,link,en,de,fr,es,nl,ar,hi,tr,af,zh,ceb,ko,sv,ru
British Indian Ocean Territory,https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Collectivity of Saint Martin,https://en.wikipedia.org/wiki/Collectivity_of_Saint_Martin,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Bermuda,https://en.wikipedia.org/wiki/Bermuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bouvet Island,https://en.wikipedia.org/wiki/Bouvet_Island,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Pitcairn Islands,https://en.wikipedia.org/wiki/Pitcairn_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norfolk Island,https://en.wikipedia.org/wiki/Norfolk_Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sint Maarten,https://en.wikipedia.org/wiki/Sint_Maarten,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Macau,https://en.wikipedia.org/wiki/Macau,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Nauru,https://en.wikipedia.org/wiki/Nauru,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saint Barthélemy,https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sint Eustatius,https://en.wikipedia.org/wiki/Sint_Eustatius,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Cocos (Keeling) Islands,https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saba,https://en.wikipedia.org/wiki/Saba,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tokelau,https://en.wikipedia.org/wiki/Tokelau,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gibraltar,https://en.wikipedia.org/wiki/Gibraltar,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clipperton Island,https://en.wikipedia.org/wiki/Clipperton_Island,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ashmore and Cartier Islands,https://en.wikipedia.org/wiki/Ashmore_and_Cartier_Islands,1,1,1,1,1,1,0,0,1,1,1,0,1,1
Spratly Islands,https://en.wikipedia.org/wiki/Spratly_Islands,1,0,1,1,1,1,0,0,1,1,0,1,1,1
Coral Sea Islands,https://en.wikipedia.org/wiki/Coral_Sea_Islands,1,1,1,1,1,1,0,1,1,1,1,0,0,1
Monaco,https://en.wikipedia.org/wiki/Monaco,1,1,1,1,1,1,1,1,1,1,0,1,1,1
